Tempo (ms)		Leitura
9350		0.848473
9375		0.862755
9400		0.494286
9425		0.654442
9450		0.818321
9475		0.592613
9500		0.892906
9525		1.006004
9550		0.731651
9575		0.796654
9600		0.479454
9625		0.877037
9650		0.808861
9675		0.484764
9700		0.570946
9725		0.722679
9750		0.599999
9775		0.737450
9800		0.713646
9825		0.737450
9850		0.510643
9875		0.608971
9900		0.852684
9925		0.817833
9950		0.847984
9975		0.897667
10000		0.885460
10025		0.868553
10050		0.722679
10075		0.734276
10100		0.615318
10125		0.525475
10150		0.666100
10175		0.472618
10200		1.135582
10225		0.763878
10250		0.713646
10275		0.302940
10300		0.317711
10325		0.451988
10350		0.858543
10375		0.629601
10400		0.680382
10425		0.669273
10450		0.482140
10475		0.555626
10500		0.620628
10525		0.570946
10550		0.591576
10575		0.776085
10600		0.811485
10625		0.653404
10650		0.445091
10675		0.796654
10700		0.594200
10725		0.731102
10750		0.356285
10775		0.900291
10800		0.811485
10825		0.858543
10850		0.538170
10875		0.855858
10900		1.022423
10925		0.751183
10950		0.929894
10975		0.983849
11000		0.906090
11025		1.118126
11050		1.100121
11075		0.844261
11100		1.011314
11125		0.794029
11150		1.022423
11175		0.983849
11200		1.234398
11225		1.115440
11250		0.829430
11275		1.087975
11300		0.794029
11325		0.873314
11350		0.760704
11375		0.776085
11400		0.974327
11425		0.745934
11450		0.804588
11475		1.034569
11500		0.870140
11525		1.183128
11550		0.870140
11575		0.980675
11600		1.247643
11625		1.034569
11650		1.137657
11675		1.206932
11700		1.197411
11725		1.270897
11750		1.158836
11775		1.293114
11800		1.141380
11825		1.022423
11850		0.857994
11875		1.045677
11900		0.966393
11925		1.081078
11950		1.051476
11975		1.438499
12000		1.379295
12025		1.551659
12050		1.176781
12075		1.251305
12100		1.355492
12125		1.589684
12150		1.265587
12175		1.280968
12200		1.426842
12225		1.412071
12250		1.455956
12275		1.227562
12300		0.969017
12325		0.817284
12350		1.087975
12375		1.420006
12400		1.132408
12425		1.212181
12450		0.969017
12475		1.295738
12500		1.399925
12525		1.087975
12550		1.162010
12575		1.311058
12600		1.257652
12625		1.272484
12650		1.174156
12675		1.251305
12700		1.034020
12725		0.923546
12750		0.701012
12775		1.289391
12800		0.918297
12825		1.007103
12850		0.976952
12875		0.783958
12900		0.918297
12925		0.798790
12950		1.084251
12975		1.099632
13000		0.896568
13025		1.075829
13050		0.852196
13075		0.976952
13100		0.748009
13125		1.277245
13150		0.584679
13175		0.726891
13200		1.001244
13225		0.849022
13250		0.643883
13275		0.769188
13300		0.867516
13325		0.762840
13350		0.569359
13375		0.685143
13400		0.873314
13425		0.718407
13450		0.997582
13475		0.797752
13500		0.982750
13525		0.992271
13550		0.932030
13575		0.837364
13600		0.679832
13625		0.878624
13650		0.827843
13675		0.881798
13700		1.304222
13725		0.664513
13750		0.867516
13775		0.724266
13800		0.664513
13825		0.896568
13850		0.970055
13875		1.000206
13900		0.881249
13925		0.688316
13950		0.584679
13975		0.774498
14000		1.063133
14025		1.187889
14050		1.235497
14075		1.270897
14100		1.256065
14125		1.211144
14150		1.012901
14175		1.108604
14200		1.104332
14225		1.024010
14250		0.714745
14275		0.939964
14300		0.732201
14325		0.839500
14350		1.029808
14375		0.890770
14400		0.824669
14425		1.018211
14450		1.032982
14475		1.137108
14500		1.048302
14525		1.167259
14550		1.027184
14575		1.077415
14600		1.265587
14625		1.339623
14650		1.205345
14675		1.360802
14700		1.256065
14725		1.063133
14750		0.685143
14775		0.970055
14800		1.000206
14825		0.911400
14850		0.854820
14875		0.925682
14900		0.972740
14925		0.952660
14950		0.997032
14975		1.104332
15000		1.104332
15025		1.035606
15050		1.166771
15075		1.314781
15100		1.330101
15125		1.412560
15150		1.433739
15175		1.449059
15200		1.115990
15225		1.032982
15250		1.264549
15275		1.258751
15300		1.279381
15325		1.279381
15350		1.219627
15375		1.219627
15400		1.137108
15425		1.166771
15450		1.180992
15475		1.092186
15500		1.002831
15525		0.883934
15550		1.002831
15575		1.270348
15600		1.225975
15625		1.186852
15650		1.360252
15675		1.386131
