
time	altitude	velocity	accel_bias	alt (bmp)	vert_accel	
     0.0	517.9303	 0.0002	 0.0000	 517.5340	 0.0037	
     0.1	517.9204	-0.0001	 0.0001	 517.5340	 0.0101	
     0.2	517.9106	-0.0004	 0.0002	 517.5193	 0.0051	
     0.3	517.9010	-0.0013	 0.0003	 517.5340	 0.0059	
     0.4	517.8917	-0.0016	 0.0004	 517.5042	 0.0038	
     0.5	517.8813	-0.0032	 0.0004	 517.5042	-0.0057	
     0.6	517.8713	-0.0052	 0.0005	 517.4895	-0.0090	
     0.7	517.8612	-0.0067	 0.0006	 517.5042	 0.0014	
     0.8	517.8514	-0.0075	 0.0007	 517.4895	 0.0090	
     0.9	517.8414	-0.0083	 0.0007	 517.4745	 0.0011	
     1.0	517.8307	-0.0089	 0.0008	 517.4595	 0.0090	
     1.1	517.8205	-0.0091	 0.0009	 517.4301	 0.0031	
     1.2	517.8098	-0.0100	 0.0010	 517.4147	 0.0049	
     1.3	517.7990	-0.0103	 0.0010	 517.4147	 0.0153	
     1.4	517.7882	-0.0113	 0.0011	 517.4147	-0.0036	
     1.5	517.7771	-0.0136	 0.0012	 517.4147	-0.0042	
     1.6	517.7665	-0.0149	 0.0013	 517.4147	-0.0067	
     1.7	517.7562	-0.0164	 0.0013	 517.4147	 0.0034	
     1.8	517.7461	-0.0173	 0.0014	 517.4147	-0.0003	
     1.9	517.7356	-0.0180	 0.0015	 517.4000	 0.0077	
     2.0	517.7251	-0.0187	 0.0015	 517.4147	 0.0036	
     2.1	517.7156	-0.0196	 0.0016	 517.4301	-0.0012	
     2.2	517.7075	-0.0206	 0.0016	 517.5042	-0.0036	
     2.3	517.7009	-0.0217	 0.0017	 517.5340	-0.0021	
     2.4	517.6949	-0.0223	 0.0017	 517.5494	-0.0004	
     2.5	517.6893	-0.0226	 0.0017	 517.5938	 0.0035	
     2.6	517.6851	-0.0224	 0.0018	 517.6236	 0.0035	
     2.7	517.6820	-0.0226	 0.0018	 517.6680	 0.0010	
     2.8	517.6799	-0.0229	 0.0018	 517.6981	 0.0011	
     2.9	517.6785	-0.0230	 0.0018	 517.7278	-0.0048	
     3.0	517.6766	-0.0236	 0.0017	 517.6930	 0.0078	
     3.1	517.6751	-0.0235	 0.0017	 517.7224	-0.0030	
     3.2	517.6731	-0.0234	 0.0017	 517.6872	 0.0000	
     3.3	517.6711	-0.0235	 0.0017	 517.6872	 0.0005	
     3.4	517.6690	-0.0232	 0.0017	 517.6724	 0.0098	
     3.5	517.6650	-0.0223	 0.0017	 517.5952	 0.0109	
     3.6	517.6610	-0.0217	 0.0018	 517.5798	 0.0071	
     3.7	517.6570	-0.0210	 0.0018	 517.5952	 0.0135	
     3.8	517.6525	-0.0202	 0.0018	 517.5624	 0.0038	
     3.9	517.6479	-0.0205	 0.0018	 517.5473	 0.0014	
     4.0	517.6432	-0.0207	 0.0018	 517.5473	 0.0016	
     4.1	517.6389	-0.0211	 0.0019	 517.5624	-0.0028	
     4.2	517.6351	-0.0212	 0.0019	 517.5624	 0.0076	
     4.3	517.6324	-0.0207	 0.0019	 517.5921	 0.0100	
     4.4	517.6299	-0.0201	 0.0019	 517.6369	 0.0079	
     4.5	517.6276	-0.0196	 0.0019	 517.5890	 0.0035	
     4.6	517.6252	-0.0195	 0.0019	 517.6191	 0.0042	
     4.7	517.6235	-0.0185	 0.0019	 517.6338	 0.0036	
     4.8	517.6223	-0.0185	 0.0019	 517.6639	-0.0020	
     4.9	517.6218	-0.0191	 0.0019	 517.6786	-0.0027	
     5.0	517.6207	-0.0196	 0.0019	 517.6136	-0.0009	
     5.1	517.6189	-0.0192	 0.0019	 517.6287	 0.0059	
     5.2	517.6176	-0.0192	 0.0019	 517.6434	-0.0076	
     5.3	517.6175	-0.0191	 0.0018	 517.7032	 0.0043	
     5.4	517.6176	-0.0183	 0.0018	 517.6677	 0.0085	
     5.5	517.6176	-0.0174	 0.0018	 517.6977	 0.0065	
     5.6	517.6183	-0.0165	 0.0018	 517.7124	 0.0033	
     5.7	517.6184	-0.0170	 0.0018	 517.6827	-0.0043	
     5.8	517.6195	-0.0174	 0.0018	 517.7179	-0.0096	
     5.9	517.6198	-0.0173	 0.0017	 517.6882	 0.0027	
     6.0	517.6196	-0.0174	 0.0017	 517.6434	-0.0056	
