
time	altitude	velocity	accel_bias	alt (bmp)	vert_accel	
     0.0	518.9187	 0.0027	-0.0000	 518.9478	 0.0311	
     0.1	518.9200	 0.0052	-0.0000	 518.9122	 0.0198	
     0.2	518.9211	 0.0066	-0.0000	 518.9721	 0.0061	
     0.3	518.9232	 0.0072	-0.0000	 519.0018	 0.0001	
     0.4	518.9258	 0.0078	-0.0000	 518.9368	 0.0091	
     0.5	518.9270	 0.0091	-0.0000	 518.9515	 0.0109	
     0.6	518.9286	 0.0099	-0.0000	 518.9662	 0.0030	
     0.7	518.9306	 0.0100	-0.0001	 518.9963	-0.0012	
     0.8	518.9332	 0.0101	-0.0001	 518.9816	-0.0007	
     0.9	518.9354	 0.0102	-0.0001	 518.9662	-0.0019	
     1.0	518.9369	 0.0097	-0.0001	 518.9515	-0.0022	
     1.1	518.9380	 0.0092	-0.0001	 518.8890	-0.0014	
     1.2	518.9375	 0.0091	-0.0001	 518.8743	 0.0043	
     1.3	518.9370	 0.0090	-0.0001	 518.8743	-0.0016	
     1.4	518.9363	 0.0088	-0.0000	 518.8743	-0.0001	
     1.5	518.9356	 0.0083	-0.0000	 518.8743	 0.0021	
     1.6	518.9349	 0.0089	-0.0000	 518.8743	 0.0012	
     1.7	518.9345	 0.0091	-0.0000	 518.8890	 0.0055	
     1.8	518.9347	 0.0092	-0.0000	 518.9191	-0.0011	
     1.9	518.9352	 0.0093	-0.0000	 518.9191	 0.0021	
     2.0	518.9347	 0.0096	 0.0000	 518.8838	 0.0070	
     2.1	518.9344	 0.0106	 0.0000	 518.8838	 0.0086	
     2.2	518.9349	 0.0106	 0.0000	 518.9283	 0.0016	
     2.3	518.9358	 0.0111	 0.0000	 518.9283	 0.0044	
     2.4	518.9368	 0.0121	 0.0000	 518.9105	 0.0112	
     2.5	518.9378	 0.0132	 0.0000	 518.9403	 0.0079	
     2.6	518.9399	 0.0137	 0.0000	 518.9850	 0.0053	
     2.7	518.9422	 0.0145	 0.0000	 518.9823	 0.0013	
     2.8	518.9451	 0.0148	 0.0000	 519.0121	 0.0058	
     2.9	518.9481	 0.0155	-0.0000	 518.9765	 0.0072	
     3.0	518.9509	 0.0167	-0.0000	 519.0066	 0.0126	
     3.1	518.9541	 0.0182	-0.0000	 518.9885	 0.0195	
     3.2	518.9573	 0.0191	-0.0000	 519.0186	 0.0029	
     3.3	518.9613	 0.0200	-0.0001	 519.0633	 0.0112	
     3.4	518.9656	 0.0211	-0.0001	 519.0603	 0.0081	
     3.5	518.9705	 0.0216	-0.0001	 519.0904	-0.0033	
     3.6	518.9756	 0.0223	-0.0001	 519.0401	 0.0031	
     3.7	518.9795	 0.0236	-0.0001	 519.0401	 0.0181	
     3.8	518.9828	 0.0239	-0.0001	 519.0220	-0.0027	
     3.9	518.9866	 0.0247	-0.0001	 519.0521	 0.0053	
     4.0	518.9905	 0.0253	-0.0002	 519.0168	 0.0027	
     4.1	518.9942	 0.0264	-0.0002	 519.0315	 0.0094	
     4.2	518.9968	 0.0278	-0.0002	 518.9963	 0.0117	
